AccommodationID,HostID,Title,Description,Address,CityID,CountryID,PricePerNight,AvailabilityStatus,PropertyType,NumberOfBedrooms,NumberOfBathrooms,SquareFootage,Neighborhood,HostRating,AccommodationRating,RegistrationDate,LastUpdated
37,71,Accommodation 37,Consider say whether various standard church knowledge. Gun make left team rate. Word buy guess property task race.,979 Mary Forges Apt. 942,56,3,411.37,unavailable,apartment,5,3,2838,South Danielville,4.0,4.4,2023-02-26,2024-10-25 17:16:22.656773
38,101,Accommodation 38,"Forward truth system billion. Term allow answer dinner risk recent likely. Hospital tonight nor population address close impact all.
Side scientist successful too I the mother.",463 Murray Mews Suite 566,58,1,346.4,unavailable,boathouse,3,3,2126,,4.4,3.1,2023-08-26,2024-03-05 00:03:29.604539
39,68,Accommodation 39,"Water very value history. Leave certain yard design least.
Artist policy air. Truth conference role investment choice try change appear.",5201 Stephanie Plains Suite 476,44,18,486.8,unavailable,studio,4,2,1830,Grimestown,4.4,4.4,2023-05-31,2024-07-04 05:17:56.716703
40,59,Accommodation 40,Really technology shake enter. Size chance discover campaign drive sell similar. Today thank keep.,514 Grace Forge Suite 401,59,11,386.16,unavailable,studio,1,3,1638,,4.4,4.8,2021-03-26,2024-12-07 16:06:33.717630
41,62,Accommodation 41,"Stay test possible seat. Fire opportunity support wrong yard over environment gun.
Put half rock executive loss. Sing ready of. Media result push strong safe.",9848 Maria Spur,55,5,476.55,unavailable,cabin,4,2,653,Jamesland,4.1,4.4,2024-04-26,2024-09-19 15:55:11.579558
42,30,Accommodation 42,Congress share relationship style choice. Opportunity a people prevent important respond.,85355 Robinson Parkway Suite 035,20,1,481.08,unavailable,villa,5,1,2589,,3.0,4.3,2020-02-09,2024-07-19 07:48:53.842441
43,90,Accommodation 43,"Together mean south agency computer stuff effect mouth. Then in during.
Power hope attorney person day nice organization. Now perhaps field everything whom direction drop.",42088 Jacobs Plaza Apt. 900,40,9,426.14,available,boathouse,3,3,1966,East Katherineberg,3.8,3.9,2024-08-06,2024-05-16 21:29:48.581126
44,60,Accommodation 44,"Reduce key country option night. Have teacher door wear.
Describe today another where likely.",328 Baker Expressway Apt. 758,9,2,198.27,unavailable,house,3,2,2462,North Michaelfurt,2.8,2.6,2022-08-28,2024-01-23 11:31:43.218632
45,97,Accommodation 45,"Administration billion report assume class involve base suddenly. Push west name father front PM.
College child chance deep. Wait interest car bill drive company both.",46307 Whitney Common,5,7,309.26,unavailable,cabin,1,3,2486,South Tina,3.7,4.5,2022-02-05,2024-05-13 00:52:06.408205
46,63,Accommodation 46,"Their you stock win. Care responsibility forget interesting these song product interview.
Wall degree cause side. Rather family close. Race fast suggest hundred.",466 Martinez Ferry Suite 062,1,3,357.11,unavailable,boathouse,2,1,1875,Rogersview,4.4,4.2,2020-05-30,2024-12-08 07:47:52.635269
47,86,Accommodation 47,"Bed sense another. Everything data become. Program exist which bill such provide management. Congress hundred north popular.
Represent woman product through. Civil the president its.",2307 Harmon Pass,28,19,295.51,available,villa,2,1,909,Bankstown,2.8,3.9,2024-02-24,2024-05-27 17:28:43.623342
48,103,Accommodation 48,"Might sometimes near hotel rather born. Former customer approach.
Record trade reflect coach middle major us. Dinner special choose face worry.",8242 Robert Spring Apt. 356,14,5,403.48,unavailable,villa,3,1,2876,West Kylefurt,4.1,4.0,2020-10-06,2024-04-19 12:32:16.443553
49,90,Accommodation 49,"Expert law thank start. End service exist authority resource letter involve condition.
Student share beyond tax early entire government. Establish low give difficult watch however work music.",9405 Nancy Circle Suite 143,44,1,77.8,available,boathouse,1,1,648,Gonzalezchester,4.4,3.2,2024-05-27,2024-03-23 01:20:23.330090
50,44,Accommodation 50,Theory look process consumer dream himself compare. Same century when economy sometimes first choose. Leg perform world probably set guess company.,1267 Leach Motorway,10,20,420.28,available,villa,3,2,2111,Jaimefurt,3.8,3.4,2023-11-10,2024-06-18 17:57:46.910999
