BookingID,GuestID,AccommodationID,CheckInDate,CheckOutDate,TotalAmount,BookingStatus,DiscountApplied,PaymentStatus,CreatedAt,UpdatedAt
28,141,16,2024-06-26,2024-06-28,573.24,confirmed,16.25,unpaid,2024-12-19 17:15:56.228644,2024-12-19 17:15:56.228646
29,142,38,2024-06-03,2024-06-06,987.76,pending,4.95,paid,2024-12-19 17:15:56.228798,2024-12-19 17:15:56.228800
30,143,4,2024-06-15,2024-06-18,296.4,cancelled,0.0,paid,2024-12-19 17:15:56.228951,2024-12-19 17:15:56.228953
31,143,17,2024-06-20,2024-06-24,446.42,confirmed,2.52,failed,2024-12-19 17:15:56.229084,2024-12-19 17:15:56.229086
32,144,5,2024-06-19,2024-06-25,2454.84,confirmed,0.0,unpaid,2024-12-19 17:15:56.229234,2024-12-19 17:15:56.229235
33,146,9,2024-06-03,2024-06-06,1148.98,confirmed,15.99,paid,2024-12-19 17:15:56.229402,2024-12-19 17:15:56.229403
34,148,12,2024-06-16,2024-06-18,625.21,confirmed,14.31,failed,2024-12-19 17:15:56.229570,2024-12-19 17:15:56.229572
35,149,2,2024-06-07,2024-06-10,169.49,pending,8.52,unpaid,2024-12-19 17:15:56.229720,2024-12-19 17:15:56.229722
36,149,23,2024-06-05,2024-06-06,265.54,confirmed,6.78,unpaid,2024-12-19 17:15:56.229855,2024-12-19 17:15:56.229857
37,149,33,2024-06-02,2024-06-05,1045.34,confirmed,17.57,paid,2024-12-19 17:15:56.229989,2024-12-19 17:15:56.229991
38,150,37,2024-06-12,2024-06-16,1382.86,confirmed,15.96,paid,2024-12-19 17:15:56.230141,2024-12-19 17:15:56.230142
39,150,32,2024-06-23,2024-06-24,80.58,cancelled,0.0,paid,2024-12-19 17:15:56.230275,2024-12-19 17:15:56.230277
40,151,5,2024-06-08,2024-06-14,2454.84,cancelled,0.0,unpaid,2024-12-19 17:15:56.230430,2024-12-19 17:15:56.230431
41,151,37,2024-06-03,2024-06-06,1159.94,confirmed,6.01,paid,2024-12-19 17:15:56.230562,2024-12-19 17:15:56.230563
42,151,31,2024-06-18,2024-06-19,397.46,confirmed,19.87,paid,2024-12-19 17:15:56.230696,2024-12-19 17:15:56.230698
43,152,41,2024-06-05,2024-06-07,868.46,cancelled,8.88,failed,2024-12-19 17:15:56.230851,2024-12-19 17:15:56.230853
44,153,4,2024-06-20,2024-06-24,394.69,confirmed,0.13,unpaid,2024-12-19 17:15:56.231001,2024-12-19 17:15:56.231003
45,153,47,2024-06-16,2024-06-17,264.22,confirmed,10.59,paid,2024-12-19 17:15:56.231133,2024-12-19 17:15:56.231135
46,153,15,2024-06-04,2024-06-05,96.48,confirmed,0.0,failed,2024-12-19 17:15:56.231269,2024-12-19 17:15:56.231270
47,158,14,2024-06-22,2024-06-24,435.06,confirmed,16.47,paid,2024-12-19 17:15:56.231473,2024-12-19 17:15:56.231475
48,158,19,2024-06-06,2024-06-08,296.74,cancelled,0.0,paid,2024-12-19 17:15:56.231607,2024-12-19 17:15:56.231609
49,159,45,2024-06-22,2024-06-27,1546.3,confirmed,0.0,paid,2024-12-19 17:15:56.231761,2024-12-19 17:15:56.231763
50,160,23,2024-06-27,2024-06-28,275.11,confirmed,3.42,failed,2024-12-19 17:15:56.231916,2024-12-19 17:15:56.231917
51,163,19,2024-06-01,2024-06-05,585.29,confirmed,1.38,failed,2024-12-19 17:15:56.232229,2024-12-19 17:15:56.232230
52,163,17,2024-06-05,2024-06-10,469.98,confirmed,17.9,unpaid,2024-12-19 17:15:56.232487,2024-12-19 17:15:56.232489
53,164,41,2024-06-06,2024-06-07,396.63,confirmed,16.77,paid,2024-12-19 17:15:56.232640,2024-12-19 17:15:56.232641
54,165,18,2024-06-17,2024-06-23,391.52,confirmed,3.77,paid,2024-12-19 17:15:56.232795,2024-12-19 17:15:56.232796
55,165,2,2024-06-19,2024-06-22,148.61,confirmed,19.79,failed,2024-12-19 17:15:56.232933,2024-12-19 17:15:56.232935
56,166,47,2024-06-25,2024-06-29,1182.04,confirmed,0.0,failed,2024-12-19 17:15:56.233086,2024-12-19 17:15:56.233088
57,167,11,2024-06-04,2024-06-05,431.2,cancelled,10.7,unpaid,2024-12-19 17:15:56.233240,2024-12-19 17:15:56.233241
58,167,17,2024-06-27,2024-06-28,114.49,pending,0.0,paid,2024-12-19 17:15:56.233375,2024-12-19 17:15:56.233377
59,168,7,2024-06-14,2024-06-16,314.31,confirmed,14.73,unpaid,2024-12-19 17:15:56.233530,2024-12-19 17:15:56.233532
60,168,47,2024-06-17,2024-06-22,1325.81,confirmed,10.27,unpaid,2024-12-19 17:15:56.233664,2024-12-19 17:15:56.233666
61,170,18,2024-06-17,2024-06-21,217.18,pending,19.93,failed,2024-12-19 17:15:56.233960,2024-12-19 17:15:56.233961
62,171,41,2024-06-21,2024-06-26,2361.78,confirmed,0.88,failed,2024-12-19 17:15:56.234115,2024-12-19 17:15:56.234116
63,172,18,2024-06-13,2024-06-18,314.16,cancelled,7.34,unpaid,2024-12-19 17:15:56.234268,2024-12-19 17:15:56.234269
64,172,38,2024-06-08,2024-06-12,1311.05,confirmed,5.38,unpaid,2024-12-19 17:15:56.234402,2024-12-19 17:15:56.234403
65,173,48,2024-06-25,2024-06-29,1613.92,cancelled,0.0,paid,2024-12-19 17:15:56.234557,2024-12-19 17:15:56.234559
66,173,49,2024-06-08,2024-06-14,466.8,confirmed,0.0,unpaid,2024-12-19 17:15:56.234692,2024-12-19 17:15:56.234693
67,174,37,2024-06-25,2024-06-27,792.71,confirmed,3.65,paid,2024-12-19 17:15:56.234841,2024-12-19 17:15:56.234843
68,174,4,2024-06-05,2024-06-08,290.21,confirmed,2.09,failed,2024-12-19 17:15:56.235101,2024-12-19 17:15:56.235103
69,175,3,2024-06-17,2024-06-22,649.42,pending,3.79,unpaid,2024-12-19 17:15:56.235252,2024-12-19 17:15:56.235253
70,176,14,2024-06-19,2024-06-24,1139.6,pending,12.48,failed,2024-12-19 17:15:56.235404,2024-12-19 17:15:56.235405
71,177,21,2024-06-12,2024-06-13,274.92,pending,0.0,failed,2024-12-19 17:15:56.235557,2024-12-19 17:15:56.235559
72,177,30,2024-06-10,2024-06-15,857.55,confirmed,0.0,paid,2024-12-19 17:15:56.235691,2024-12-19 17:15:56.235692
73,178,6,2024-06-23,2024-06-26,285.49,cancelled,19.45,paid,2024-12-19 17:15:56.235844,2024-12-19 17:15:56.235845
74,181,41,2024-06-23,2024-06-28,2382.75,confirmed,0.0,paid,2024-12-19 17:15:56.236306,2024-12-19 17:15:56.236308
75,182,50,2024-06-01,2024-06-06,2101.4,confirmed,0.0,paid,2024-12-19 17:15:56.236591,2024-12-19 17:15:56.236593
76,184,34,2024-06-20,2024-06-23,1136.45,confirmed,2.44,failed,2024-12-19 17:15:56.236761,2024-12-19 17:15:56.236762
77,184,16,2024-06-16,2024-06-18,659.48,cancelled,3.65,unpaid,2024-12-19 17:15:56.236899,2024-12-19 17:15:56.236900
78,185,7,2024-06-10,2024-06-16,1092.64,confirmed,1.19,unpaid,2024-12-19 17:15:56.237059,2024-12-19 17:15:56.237061
79,185,48,2024-06-25,2024-06-27,735.06,confirmed,8.91,paid,2024-12-19 17:15:56.237194,2024-12-19 17:15:56.237195
80,185,38,2024-06-10,2024-06-16,2078.4,confirmed,0.0,paid,2024-12-19 17:15:56.237333,2024-12-19 17:15:56.237335
81,186,30,2024-06-10,2024-06-13,457.06,confirmed,11.17,unpaid,2024-12-19 17:15:56.237489,2024-12-19 17:15:56.237490
82,189,31,2024-06-14,2024-06-15,489.32,cancelled,1.35,paid,2024-12-19 17:15:56.237688,2024-12-19 17:15:56.237689
83,189,20,2024-06-20,2024-06-25,1805.83,cancelled,2.97,paid,2024-12-19 17:15:56.237824,2024-12-19 17:15:56.237825
84,190,12,2024-06-28,2024-06-29,293.31,confirmed,19.6,paid,2024-12-19 17:15:56.237983,2024-12-19 17:15:56.237984
85,192,36,2024-06-27,2024-06-28,65.36,confirmed,15.25,failed,2024-12-19 17:15:56.238151,2024-12-19 17:15:56.238153
86,192,27,2024-06-03,2024-06-05,662.87,confirmed,7.27,paid,2024-12-19 17:15:56.238330,2024-12-19 17:15:56.238332
87,193,16,2024-06-13,2024-06-15,684.46,confirmed,0.0,failed,2024-12-19 17:15:56.238513,2024-12-19 17:15:56.238515
88,194,5,2024-06-10,2024-06-16,2454.84,confirmed,0.0,unpaid,2024-12-19 17:15:56.238663,2024-12-19 17:15:56.238665
89,195,12,2024-06-11,2024-06-15,1312.73,confirmed,10.04,unpaid,2024-12-19 17:15:56.238813,2024-12-19 17:15:56.238814
90,199,6,2024-06-08,2024-06-12,472.56,pending,0.0,paid,2024-12-19 17:15:56.239004,2024-12-19 17:15:56.239006
91,200,1,2024-06-03,2024-06-09,2169.76,cancelled,5.07,paid,2024-12-19 17:15:56.239154,2024-12-19 17:15:56.239155
92,202,43,2024-06-08,2024-06-09,348.28,cancelled,18.27,failed,2024-12-19 17:15:56.239451,2024-12-19 17:15:56.239453
93,205,17,2024-06-21,2024-06-27,612.61,cancelled,10.82,failed,2024-12-19 17:15:56.239764,2024-12-19 17:15:56.239765
94,206,20,2024-06-10,2024-06-12,662.03,confirmed,11.07,paid,2024-12-19 17:15:56.240168,2024-12-19 17:15:56.240170
95,207,23,2024-06-16,2024-06-21,1400.89,confirmed,1.64,failed,2024-12-19 17:15:56.240444,2024-12-19 17:15:56.240445
96,208,22,2024-06-10,2024-06-13,1224.09,confirmed,0.0,unpaid,2024-12-19 17:15:56.240595,2024-12-19 17:15:56.240597
97,209,30,2024-06-16,2024-06-21,775.23,pending,9.6,paid,2024-12-19 17:15:56.240871,2024-12-19 17:15:56.240873
98,209,26,2024-06-13,2024-06-14,206.74,cancelled,2.64,unpaid,2024-12-19 17:15:56.241005,2024-12-19 17:15:56.241006
99,210,12,2024-06-16,2024-06-22,1985.73,confirmed,9.28,paid,2024-12-19 17:15:56.241159,2024-12-19 17:15:56.241161
100,210,3,2024-06-09,2024-06-12,359.64,confirmed,11.2,paid,2024-12-19 17:15:56.241309,2024-12-19 17:15:56.241311
101,211,37,2024-06-18,2024-06-21,1077.01,confirmed,12.73,failed,2024-12-19 17:15:56.241554,2024-12-19 17:15:56.241556
102,212,49,2024-06-19,2024-06-22,209.83,confirmed,10.1,paid,2024-12-19 17:15:56.241726,2024-12-19 17:15:56.241727
103,212,48,2024-06-10,2024-06-14,1547.75,confirmed,4.1,unpaid,2024-12-19 17:15:56.241866,2024-12-19 17:15:56.241868
104,213,5,2024-06-12,2024-06-13,377.43,confirmed,7.75,unpaid,2024-12-19 17:15:56.242025,2024-12-19 17:15:56.242027
105,213,38,2024-06-02,2024-06-05,881.03,confirmed,15.22,unpaid,2024-12-19 17:15:56.242217,2024-12-19 17:15:56.242221
106,214,50,2024-06-25,2024-06-29,1681.12,cancelled,0.0,failed,2024-12-19 17:15:56.242627,2024-12-19 17:15:56.242629
107,215,16,2024-06-23,2024-06-24,307.73,confirmed,10.08,paid,2024-12-19 17:15:56.242971,2024-12-19 17:15:56.242973
108,216,15,2024-06-13,2024-06-17,385.92,confirmed,0.0,unpaid,2024-12-19 17:15:56.243137,2024-12-19 17:15:56.243138
109,217,5,2024-06-21,2024-06-24,1154.14,cancelled,5.97,failed,2024-12-19 17:15:56.243304,2024-12-19 17:15:56.243306
110,218,28,2024-06-23,2024-06-29,2050.98,confirmed,0.0,paid,2024-12-19 17:15:56.243465,2024-12-19 17:15:56.243466
111,218,43,2024-06-08,2024-06-14,2462.49,confirmed,3.69,failed,2024-12-19 17:15:56.243601,2024-12-19 17:15:56.243602
112,220,42,2024-06-20,2024-06-25,2405.4,cancelled,0.0,paid,2024-12-19 17:15:56.243785,2024-12-19 17:15:56.243787
113,220,9,2024-06-02,2024-06-05,1202.73,cancelled,12.06,unpaid,2024-12-19 17:15:56.243921,2024-12-19 17:15:56.243922
114,221,22,2024-06-24,2024-06-26,709.07,pending,13.11,unpaid,2024-12-19 17:15:56.244303,2024-12-19 17:15:56.244305
115,223,43,2024-06-20,2024-06-23,1172.82,cancelled,8.26,failed,2024-12-19 17:15:56.244479,2024-12-19 17:15:56.244481
116,224,2,2024-06-07,2024-06-11,232.09,pending,6.05,paid,2024-12-19 17:15:56.244638,2024-12-19 17:15:56.244639
117,225,30,2024-06-21,2024-06-27,989.85,confirmed,3.81,failed,2024-12-19 17:15:56.244796,2024-12-19 17:15:56.244797
118,226,44,2024-06-01,2024-06-03,375.84,confirmed,5.22,unpaid,2024-12-19 17:15:56.245090,2024-12-19 17:15:56.245091
119,227,27,2024-06-28,2024-06-29,334.37,confirmed,6.45,paid,2024-12-19 17:15:56.245239,2024-12-19 17:15:56.245240
120,227,22,2024-06-23,2024-06-27,1308.96,pending,19.8,paid,2024-12-19 17:15:56.245364,2024-12-19 17:15:56.245366
121,229,42,2024-06-24,2024-06-25,481.08,confirmed,0.0,paid,2024-12-19 17:15:56.245521,2024-12-19 17:15:56.245522
122,229,16,2024-06-25,2024-06-27,617.04,confirmed,9.85,failed,2024-12-19 17:15:56.245646,2024-12-19 17:15:56.245647
123,230,28,2024-06-01,2024-06-07,2041.75,pending,0.45,unpaid,2024-12-19 17:15:56.245787,2024-12-19 17:15:56.245788
124,230,49,2024-06-25,2024-06-26,75.37,cancelled,3.12,failed,2024-12-19 17:15:56.245920,2024-12-19 17:15:56.245922
125,231,26,2024-06-25,2024-06-29,797.67,confirmed,6.09,unpaid,2024-12-19 17:15:56.246078,2024-12-19 17:15:56.246080
126,233,22,2024-06-04,2024-06-05,365.72,confirmed,10.37,failed,2024-12-19 17:15:56.246516,2024-12-19 17:15:56.246518
127,234,20,2024-06-05,2024-06-08,1116.66,cancelled,0.0,paid,2024-12-19 17:15:56.246676,2024-12-19 17:15:56.246677
128,237,20,2024-06-26,2024-06-29,962.11,confirmed,13.84,failed,2024-12-19 17:15:56.246999,2024-12-19 17:15:56.247000
129,238,27,2024-06-21,2024-06-25,1429.68,pending,0.0,failed,2024-12-19 17:15:56.247290,2024-12-19 17:15:56.247292
130,239,42,2024-06-09,2024-06-14,1927.69,pending,19.86,failed,2024-12-19 17:15:56.247451,2024-12-19 17:15:56.247453
131,241,11,2024-06-07,2024-06-08,433.86,confirmed,10.15,failed,2024-12-19 17:15:56.247629,2024-12-19 17:15:56.247631
132,241,14,2024-06-10,2024-06-13,769.78,confirmed,1.47,paid,2024-12-19 17:15:56.247770,2024-12-19 17:15:56.247772
133,242,45,2024-06-21,2024-06-27,1498.18,confirmed,19.26,paid,2024-12-19 17:15:56.247930,2024-12-19 17:15:56.247931
134,243,26,2024-06-03,2024-06-08,939.22,confirmed,11.54,paid,2024-12-19 17:15:56.248086,2024-12-19 17:15:56.248087
135,244,18,2024-06-21,2024-06-27,337.37,confirmed,17.08,unpaid,2024-12-19 17:15:56.248252,2024-12-19 17:15:56.248253
136,244,11,2024-06-05,2024-06-07,965.74,pending,0.0,paid,2024-12-19 17:15:56.248388,2024-12-19 17:15:56.248390
137,245,22,2024-06-15,2024-06-16,340.83,cancelled,16.47,failed,2024-12-19 17:15:56.248554,2024-12-19 17:15:56.248556
138,245,49,2024-06-28,2024-06-29,66.44,confirmed,14.6,failed,2024-12-19 17:15:56.248694,2024-12-19 17:15:56.248695
139,248,26,2024-06-18,2024-06-23,900.05,cancelled,15.23,failed,2024-12-19 17:15:56.249024,2024-12-19 17:15:56.249026
140,248,10,2024-06-09,2024-06-10,140.28,cancelled,0.0,failed,2024-12-19 17:15:56.249187,2024-12-19 17:15:56.249189
141,250,27,2024-06-26,2024-06-28,643.21,pending,10.02,paid,2024-12-19 17:15:56.249358,2024-12-19 17:15:56.249360
142,250,7,2024-06-10,2024-06-13,552.9,pending,0.0,failed,2024-12-19 17:15:56.249502,2024-12-19 17:15:56.249504
143,251,11,2024-06-16,2024-06-19,1420.07,pending,1.97,unpaid,2024-12-19 17:15:56.249659,2024-12-19 17:15:56.249660
144,251,6,2024-06-06,2024-06-11,572.51,confirmed,3.08,paid,2024-12-19 17:15:56.249797,2024-12-19 17:15:56.249799
145,252,27,2024-06-09,2024-06-15,2115.78,confirmed,1.34,failed,2024-12-19 17:15:56.249964,2024-12-19 17:15:56.249966
146,252,29,2024-06-05,2024-06-09,1601.43,confirmed,19.39,failed,2024-12-19 17:15:56.250110,2024-12-19 17:15:56.250112
147,255,3,2024-06-23,2024-06-24,110.5,confirmed,18.15,paid,2024-12-19 17:15:56.250302,2024-12-19 17:15:56.250304
148,255,16,2024-06-17,2024-06-21,1172.21,confirmed,14.37,failed,2024-12-19 17:15:56.250451,2024-12-19 17:15:56.250452
149,256,34,2024-06-28,2024-06-29,338.05,confirmed,12.94,failed,2024-12-19 17:15:56.250607,2024-12-19 17:15:56.250608
150,257,32,2024-06-16,2024-06-22,483.48,confirmed,0.0,unpaid,2024-12-19 17:15:56.250766,2024-12-19 17:15:56.250767
151,259,19,2024-06-13,2024-06-14,141.0,pending,4.97,failed,2024-12-19 17:15:56.251209,2024-12-19 17:15:56.251210
152,259,7,2024-06-11,2024-06-13,368.6,confirmed,0.0,paid,2024-12-19 17:15:56.251353,2024-12-19 17:15:56.251355
153,260,8,2024-06-15,2024-06-18,1147.47,pending,18.55,unpaid,2024-12-19 17:15:56.251513,2024-12-19 17:15:56.251514
154,261,11,2024-06-06,2024-06-07,469.2,cancelled,2.83,unpaid,2024-12-19 17:15:56.251664,2024-12-19 17:15:56.251665
155,261,47,2024-06-05,2024-06-07,522.52,pending,11.59,unpaid,2024-12-19 17:15:56.251804,2024-12-19 17:15:56.251806
156,261,36,2024-06-21,2024-06-22,69.76,confirmed,9.54,failed,2024-12-19 17:15:56.251943,2024-12-19 17:15:56.251944
157,263,16,2024-06-02,2024-06-04,684.46,confirmed,0.0,unpaid,2024-12-19 17:15:56.252395,2024-12-19 17:15:56.252397
158,263,33,2024-06-14,2024-06-20,2536.32,confirmed,0.0,unpaid,2024-12-19 17:15:56.252535,2024-12-19 17:15:56.252536
159,264,25,2024-06-08,2024-06-12,248.48,cancelled,0.0,paid,2024-12-19 17:15:56.252697,2024-12-19 17:15:56.252698
160,264,11,2024-06-23,2024-06-26,1448.61,confirmed,0.0,failed,2024-12-19 17:15:56.252823,2024-12-19 17:15:56.252825
161,266,19,2024-06-10,2024-06-14,593.48,cancelled,0.0,failed,2024-12-19 17:15:56.253149,2024-12-19 17:15:56.253151
162,267,21,2024-06-14,2024-06-20,1649.52,pending,0.0,paid,2024-12-19 17:15:56.253442,2024-12-19 17:15:56.253443
163,267,18,2024-06-05,2024-06-08,203.43,confirmed,0.0,unpaid,2024-12-19 17:15:56.253582,2024-12-19 17:15:56.253584
164,267,2,2024-06-21,2024-06-24,171.48,confirmed,7.45,paid,2024-12-19 17:15:56.253717,2024-12-19 17:15:56.253718
165,268,41,2024-06-06,2024-06-12,2648.0,confirmed,7.39,failed,2024-12-19 17:15:56.253999,2024-12-19 17:15:56.254000
166,271,4,2024-06-17,2024-06-19,163.63,confirmed,17.19,unpaid,2024-12-19 17:15:56.254320,2024-12-19 17:15:56.254322
167,272,15,2024-06-08,2024-06-09,80.37,confirmed,16.7,unpaid,2024-12-19 17:15:56.254608,2024-12-19 17:15:56.254609
168,273,28,2024-06-12,2024-06-17,1522.85,confirmed,10.9,failed,2024-12-19 17:15:56.254762,2024-12-19 17:15:56.254764
169,274,32,2024-06-25,2024-06-29,280.81,pending,12.88,failed,2024-12-19 17:15:56.254912,2024-12-19 17:15:56.254914
170,275,2,2024-06-09,2024-06-12,181.5,cancelled,2.04,unpaid,2024-12-19 17:15:56.255064,2024-12-19 17:15:56.255066
171,276,6,2024-06-03,2024-06-05,231.6,confirmed,1.98,unpaid,2024-12-19 17:15:56.255236,2024-12-19 17:15:56.255238
172,277,20,2024-06-03,2024-06-07,1488.88,confirmed,0.0,unpaid,2024-12-19 17:15:56.255391,2024-12-19 17:15:56.255392
173,279,41,2024-06-18,2024-06-20,767.34,confirmed,19.49,paid,2024-12-19 17:15:56.255688,2024-12-19 17:15:56.255690
174,281,14,2024-06-11,2024-06-13,458.34,confirmed,12.0,unpaid,2024-12-19 17:15:56.255899,2024-12-19 17:15:56.255902
175,281,40,2024-06-05,2024-06-07,655.0,pending,15.19,unpaid,2024-12-19 17:15:56.256099,2024-12-19 17:15:56.256101
176,281,32,2024-06-10,2024-06-14,322.32,confirmed,0.0,paid,2024-12-19 17:15:56.256260,2024-12-19 17:15:56.256261
177,282,22,2024-06-16,2024-06-22,2448.18,cancelled,0.0,paid,2024-12-19 17:15:56.256444,2024-12-19 17:15:56.256446
178,285,27,2024-06-13,2024-06-17,1287.14,cancelled,9.97,unpaid,2024-12-19 17:15:56.256799,2024-12-19 17:15:56.256801
179,286,37,2024-06-08,2024-06-14,2325.06,pending,5.8,paid,2024-12-19 17:15:56.256964,2024-12-19 17:15:56.256966
180,287,41,2024-06-06,2024-06-09,1308.27,confirmed,8.49,failed,2024-12-19 17:15:56.257126,2024-12-19 17:15:56.257127
181,287,32,2024-06-10,2024-06-13,239.64,pending,0.87,paid,2024-12-19 17:15:56.257280,2024-12-19 17:15:56.257281
182,287,37,2024-06-03,2024-06-06,1182.52,confirmed,4.18,failed,2024-12-19 17:15:56.257433,2024-12-19 17:15:56.257435
183,288,42,2024-06-18,2024-06-23,2113.38,confirmed,12.14,unpaid,2024-12-19 17:15:56.257588,2024-12-19 17:15:56.257590
184,289,33,2024-06-11,2024-06-17,2170.08,pending,14.44,failed,2024-12-19 17:15:56.257749,2024-12-19 17:15:56.257751
185,290,40,2024-06-10,2024-06-14,1483.47,confirmed,3.96,unpaid,2024-12-19 17:15:56.258026,2024-12-19 17:15:56.258028
186,292,21,2024-06-01,2024-06-06,1261.61,pending,8.22,unpaid,2024-12-19 17:15:56.258331,2024-12-19 17:15:56.258332
187,292,22,2024-06-21,2024-06-27,2008.98,confirmed,17.94,unpaid,2024-12-19 17:15:56.258481,2024-12-19 17:15:56.258482
188,294,49,2024-06-02,2024-06-08,388.38,pending,16.8,paid,2024-12-19 17:15:56.258661,2024-12-19 17:15:56.258663
189,294,4,2024-06-19,2024-06-25,592.8,pending,0.0,unpaid,2024-12-19 17:15:56.258799,2024-12-19 17:15:56.258801
190,295,44,2024-06-01,2024-06-07,1189.62,confirmed,0.0,unpaid,2024-12-19 17:15:56.258953,2024-12-19 17:15:56.258955
191,296,49,2024-06-16,2024-06-19,205.37,pending,12.01,unpaid,2024-12-19 17:15:56.259372,2024-12-19 17:15:56.259374
192,297,20,2024-06-21,2024-06-26,1850.31,cancelled,0.58,failed,2024-12-19 17:15:56.259542,2024-12-19 17:15:56.259543
193,298,49,2024-06-17,2024-06-19,143.57,pending,7.73,paid,2024-12-19 17:15:56.259693,2024-12-19 17:15:56.259694
194,299,46,2024-06-17,2024-06-21,1391.87,confirmed,2.56,paid,2024-12-19 17:15:56.259852,2024-12-19 17:15:56.259854
195,300,1,2024-06-23,2024-06-25,637.24,confirmed,16.36,unpaid,2024-12-19 17:15:56.260012,2024-12-19 17:15:56.260013
196,301,33,2024-06-18,2024-06-20,745.85,confirmed,11.78,paid,2024-12-19 17:15:56.260182,2024-12-19 17:15:56.260183
197,303,43,2024-06-20,2024-06-25,2130.7,pending,0.0,paid,2024-12-19 17:15:56.260350,2024-12-19 17:15:56.260351
198,304,32,2024-06-03,2024-06-04,77.79,confirmed,3.46,failed,2024-12-19 17:15:56.260508,2024-12-19 17:15:56.260509
199,305,22,2024-06-13,2024-06-17,1496.49,cancelled,8.31,failed,2024-12-19 17:15:56.260661,2024-12-19 17:15:56.260663
200,305,11,2024-06-14,2024-06-18,1931.48,pending,0.0,unpaid,2024-12-19 17:15:56.260811,2024-12-19 17:15:56.260812
201,305,11,2024-06-21,2024-06-23,784.95,confirmed,18.72,unpaid,2024-12-19 17:15:56.260948,2024-12-19 17:15:56.260949
